"UNIQUE WORDs","FREQUENCY COUNT","CHARACTER COUNT"
"boy","6","3"
"dvi","6","3"
"3ds","6","3"
"lights","6","6"
"hard","6","4"
"espresso","6","8"
"met","6","3"
"wing","6","4"
"chair","5","5"
"unlocked","5","8"
"wall","5","4"
"comm","5","4"
"sign","5","4"
"glass","5","5"
"13","5","2"
"each","5","4"
"edge","5","4"
"story","5","5"
"roku","5","4"
"shoe","5","4"
"eos","5","3"
"45","5","2"
"vga","5","3"
"run","5","3"
"audible","5","7"
"don","5","3"
"gran","5","4"
"your","5","4"
"fit","5","3"
"movie","5","5"
"zen","5","3"
"freddy","5","6"
"nights","5","6"
"charger","5","7"
"berry","5","5"
"g2","5","2"
"playstation","5","11"
"adapter","5","7"
"ears","5","4"
"5d","5","2"
"five","5","4"
"bose","5","4"
"technica","5","8"
"think","5","5"
"list","5","4"
"wish","5","4"
"poo","5","3"
"service","5","7"
"vita","5","4"
"14","5","2"
"order","5","5"
"tree","5","4"
"apple","5","5"
"mill","5","4"
"ped","5","3"
"mate","5","4"
"gold","5","4"
"stars","5","5"
"亚马逊","5","3"
"cb","5","2"
"house","5","5"
"sleep","5","5"
"lte","5","3"
"tx","5","2"
"credit","5","6"
"g3","5","2"
"fault","5","5"
"projector","5","9"
"bone","5","4"
"xl","4","2"
"habit","4","5"
"amazona","4","7"
"instance","4","8"
"vinyl","4","5"
"backpack","4","8"
"where","4","5"
"cord","4","4"
"home","4","4"
"ray","4","3"
"history","4","7"
"dog","4","3"
"american","4","8"
"program","4","7"
"smart","4","5"
"like","4","4"
"apps","4","4"
"peter","4","5"
"clean","4","5"
"thunderbolt","4","11"
"time","4","4"
"sims","4","4"
"machine","4","7"
"computer","4","8"
"elf","4","3"
"rp","4","2"
"contact","4","7"
"nespresso","4","9"
"splitter","4","8"
"oil","4","3"
"live","4","4"
"mechanical","4","10"
"big","4","3"
"city","4","4"
"c720","4","4"
"intel","4","5"
"good","4","4"
"series","4","6"
"hp","4","2"
"care","4","4"
"number","4","6"
"runner","4","6"
"maze","4","4"
"heart","4","5"
"route","4","5"
"tablets","4","7"
"online","4","6"
"jobs","4","4"
"wash","4","4"
"unlimited","4","9"
"student","4","7"
"motorola","4","8"
"fresh","4","5"
"usa","4","3"
"way","4","3"
"services","4","8"
"affiliate","4","9"
"replacement","4","11"
"41","4","2"
"uk","4","2"
"セラーセントラル","4","8"
"cards","4","5"
"sex","4","3"
"transparent","4","11"
"droid","4","5"
"stick","4","5"
"chromecast","4","10"
"amao","4","4"
"sellers","4","7"
"fitbit","4","6"
"gtx","4","3"
"gone","4","4"
"manage","4","6"
"wacom","4","5"
"textbook","4","8"
"cancel","4","6"
"magic","4","5"
"blood","4","5"
"bed","4","3"
"wine","4","4"
"watches","4","7"
"works","4","5"
"nintendo","4","8"
"again","4","5"
"bundle","4","6"
"with","4","4"
"macbook","4","7"
"love","4","4"
"美国","4","2"
"84","4","2"
"ativ","4","4"
"rate","4","4"
"gta","4","3"
"nj","4","2"
"jab","4","3"
"calculator","4","10"
"clock","4","5"
"outlet","4","6"
"touch","3","5"
"games","3","5"
"wifi","3","4"
"stay","3","4"
"space","3","5"
"razer","3","5"
"flex","3","4"
"auto","3","4"
"crow","3","4"
"speakers","3","8"
"strip","3","5"
"gaming","3","6"
"self","3","4"
"amaza","3","5"
"adobe","3","5"
"boots","3","5"
"thiel","3","5"
"outlander","3","9"
"klipsch","3","7"
"fba","3","3"
"fulfillment","3","11"
"4g","3","2"
"tomorrow","3","8"
"polaroid","3","8"
"image","3","5"
"philips","3","7"
"filter","3","6"
"zoo","3","3"
"tape","3","4"
"getting","3","7"
"hand","3","4"
"midi","3","4"
"pebble","3","6"
"gps","3","3"
"frames","3","6"
"amazi","3","5"
"management","3","10"
"associate","3","9"
"558","3","3"
"api","3","3"
"snow","3","4"
"stone","3","5"
"elements","3","8"
"switch","3","6"
"teach","3","5"
"freedom","3","7"
"egg","3","3"
"gamecube","3","8"
"lightroom","3","9"
"laptops","3","7"
"a7","3","2"
"venue","3","5"
"980","3","3"
"boys","3","4"
"520","3","3"
"ps3","3","3"
"pot","3","3"
"bullet","3","6"
"shopping","3","8"
"storage","3","7"
"body","3","4"
"display","3","7"
"office","3","6"
"daily","3","5"
"covers","3","6"
"see","3","3"
"earth","3","5"
"yes","3","3"
"front","3","5"
"4s","3","2"
"super","3","5"
"فیلم","3","4"
"rock","3","4"
"aero","3","4"
"dash","3","4"
"kat","3","3"
"black","3","5"
"smash","3","5"
"bros","3","4"
"slow","3","4"
"monitors","3","8"
"64","3","2"
"fuji","3","4"
"ghost","3","5"
"india","3","5"
"x100s","3","5"
"mask","3","4"
"site","3","4"
"inch","3","4"
"textbooks","3","9"
"m50x","3","4"
"ethernet","3","8"
"street","3","6"
"22","3","2"
"gopro","3","5"
"pressure","3","8"
"cooker","3","6"
"toy","3","3"
"yoga","3","4"
"vs","3","2"
"microphone","3","10"
"spiral","3","6"
"hosting","3","7"
"europe","3","6"
"کس","3","2"
"pantry","3","6"
"arch","3","4"
"nz","3","2"
"redshift","3","8"
"ipod","3","4"
"ants","3","4"
"amazone","3","7"
"амазон","3","6"
"movies","3","6"
"아마존","3","3"
"motion","3","6"
"direct","3","6"
"39","3","2"
"outdoor","3","7"
"registry","3","8"
"return","3","6"
"wishlist","3","8"
"rx100","3","5"
"photo","3","5"
"boom","3","4"
"shirt","3","5"
"quiet","3","5"
"chips","3","5"
"food","3","4"
"blender","3","7"
"kill","3","4"
"law","3","3"
"high","3","4"
"xtreme","3","6"
"people","3","6"
"effect","3","6"
"elastic","3","7"
"tcm125","3","6"
"cameras","3","7"
"kit","3","3"
"business","3","8"
"balance","3","7"
"everything","3","10"
"m9","3","2"
"db","3","2"
"soda","3","4"
"headset","3","7"
"grinder","3","7"
"leave","3","5"
"merchant","3","8"
"french","3","6"
"quest","3","5"
"shield","3","6"
"century","3","7"
"coffee","3","6"
"season","3","6"
"weight","3","6"
"t1","3","2"
"extension","3","9"
"capsules","2","8"
"rental","2","6"
"complete","2","8"
"storm","2","5"
"sriracha","2","8"
"vitamin","2","7"
"secret","2","6"
"agent","2","5"
"done","2","4"
"photoshop","2","9"
"digital","2","7"
"munroe","2","6"
"shows","2","5"
"randall","2","7"
"great","2","5"
"humidifier","2","10"
"sellercentral","2","13"
"used","2","4"
"bamboo","2","6"
"went","2","4"
"e5","2","2"
"bands","2","5"
"d300","2","4"
"k70","2","3"
"hill","2","4"
"guide","2","5"
"clip","2","4"
"inspiron","2","8"
"professional","2","12"
"woman","2","5"
"chairs","2","6"
"standing","2","8"
"vibe","2","4"
"marshmallow","2","11"
"start","2","5"
"hour","2","4"
"style","2","5"
"amazonaws","2","9"
"anna","2","4"
"skx007","2","6"
"access","2","6"
"glove","2","5"
"nano","2","4"
"memo","2","4"
"amazonseller","2","12"
"fujifilm","2","8"
"artist","2","6"
"curtain","2","7"
"s4i","2","3"
"laws","2","4"
"violin","2","6"
"east","2","4"
"uniform","2","7"
"ux","2","2"
"wake","2","4"
"vest","2","4"
"who","2","3"
"person","2","6"
"navy","2","4"
"dad","2","3"
"brother","2","7"
"inside","2","6"
"barn","2","4"
"trial","2","5"
"leaders","2","7"
"cleaner","2","7"
"kingdom","2","7"
"sensors","2","7"
"indoor","2","6"
"parisian","2","8"
"lighting","2","8"
"pixie","2","5"
"toaster","2","7"
"nike","2","4"
"poster","2","6"
"kiss","2","4"
"maca","2","4"
"dome","2","4"
"pass","2","4"
"amazonpayment","2","13"
"flour","2","5"
"were","2","4"
"chronicle","2","9"
"hbo","2","3"
"seeds","2","5"
"myth","2","4"
"infinite","2","8"
"selling","2","7"
"warmer","2","6"
"48","2","2"
"developer","2","9"
"grand","2","5"
"oneplus","2","7"
"168","2","3"
"portal","2","6"
"dumbbells","2","9"
"harness","2","7"
"shower","2","6"
"rca","2","3"
"سکس","2","3"
"say","2","3"
"android","2","7"
"transformer","2","11"
"clear","2","5"
"pitch","2","5"
"has","2","3"
"ssd","2","3"
"labor","2","5"
"wonder","2","6"
"model","2","5"
"dynamo","2","6"
"bags","2","4"
"call","2","4"
"code","2","4"
"shure","2","5"
"ascend","2","6"
"button","2","6"
"belt","2","4"
"exercise","2","8"
"lenovo","2","6"
"tub","2","3"
"snowball","2","8"
